帳戶	帐户	zhang4 hu4	/account/
掃描儀	扫描仪	sao4 miao2 yi2	/scanner/
滾動條	滚动条	gun3 dong4 tiao2	/scroll bar/
查找	查找	cha2 zhao3	/search/
發送	发送	fa1 song4	/sent/
系列	系列	xi4 lie4	/series/
服務	服务	fu2 wu4	/service/
建立	建立	jian4 li4	/set up/
關機	关机	guan1 ji1	/shut down/
單擊	单击	dan1 ji1	/single click/
軟件	软件	ruan3 jian4	/software/
空間	空间	kong1 jian1	/space/
速度	速度	su4 du4	/speed/
數據表格 	数据表格 	shu3 ju4 biao3 ge2	/spreadsheet/
拼寫檢查	拼写检查	pin1 xie3 jian3 cha2	/spell check/
開始	开始	kai1 shi3	/start/
開機	开机	kai1 ji1	/start/
狀態欄	状态栏	zhuang4 tai4 lan2	/status bar/
儲存	储存	chu2 cun2	/store/
題目	题目	ti2 mu4	/subject/
系統	系统	xi4 tong3	/system/
有形的	有形的	you3 xing2 de5	/tangible/
標題欄	标题栏	biao1 ti2 lan2	/title bar/
工具欄	工具栏	gong1 ju4 lan2	/toolbar/
網址	网址	wang3 zhi3	/URL/
用戶姓名	用户姓名	yong4 hu4 xing4 ming2	/user name/
版	版	ban3	/version/
訪問	访问	fang3 wen4	/visit/
圖像	图像	tu2 xiang4	/visual/
網頁	网页	wang3 ye4	/Web page/
網站	网站	wang3 zhan4	/Web site/
視窗	视窗	shi4 chuang1	/Windows (Microsoft Windows: 微软视窗)/
文字處理	文字处理	wen2 zi4 chu3 li3	/word procesing/
文字	文字	wen2 zi4	/words/text/
工作區	工作区	gong1 zuo4 qu1	/working area/
萬維網	万维网	wan4 wei2 wang3	/World Wide Web/www/
